total_time_seconds,expression,mse,old_mse,evaluations,dataset,fold,num_observations,num_features,population_size,operator_set,template_depth,iteration,seed,mse_val,var_y_val
3600.165950063616,'(1.268734455109 + (1.269396781921 * (((0.787777662277 * x4) - ((0.979051709175 * x6) ^ (((cos(((0.215818136930 ^ 2) ^ (-0.025760740042))) + sin(((0.237909123302 * x5) / (1.442695021629 * x4)))) / (2.536045074463 * x6)) * (-0.025760740042)))) + ((0.787777662277 * x6) - ((-0.787774443626) * x5)))))',1.1366366849021587e-09,9.112509635755827e-10,267322001,409,20,58,12,32768,paper,4,0,1592565386,2.695169580066301e-10,1808.1630062500008
3600.115271113813,'((-0.000010538673) + (0.724619865417 * ((((0.691865801811 * x5) * (-0.090567603707)) + (1.380033493042 * x6)) + ((1.442695021629 * x5) + (1.380033493042 * x4)))))',1.3938949480281215e-09,3.7333189317756416e-10,462131077,409,21,58,12,32768,paper,4,0,784044718,1.0785665833157183e-09,723.5562009999993
3600.0923540219665,'(0.000022751441 + ((-3.664407491684) * ((((-0.136443108320) * x6) + ((-0.272895663977) * x4)) + (((-0.136451974511) * x6) + ((-0.272895663977) * x5)))))',2.5972771191351714e-09,3.853748431481563e-09,497599664,409,23,58,12,32768,paper,4,0,3356806661,9.156378954133291e-09,1827.0067922500011
3600.083261985332,'(0.000061772393 + (1.840019941330 * (((0.543472349644 * x6) + (0.543472349644 * x5)) - ((-0.543471992016) * x4))))',4.6070188348999476e-10,6.744059755092734e-10,552844826,409,27,58,12,32768,paper,4,0,2342600226,3.760197220218381e-10,2921.5646522500006
3600.100002180785,'((-0.000033935194) + (0.660279750824 * (((1.514509320259 * x5) + (1.514509320259 * x6)) - ((-1.514511585236) * x4))))',5.619115514651222e-10,1.6739720720693183e-09,559801561,409,26,58,12,32768,paper,4,0,3533734220,6.057815821302843e-10,393.9828010000007
3600.107122384012,'((-0.000016876513) + (0.489469319582 * (((2.043029308319 * x4) + (1.452072978020 * x5)) - (((-0.590955555439) * x5) - (2.043029308319 * x6)))))',1.507860008662482e-10,6.864489532354411e-10,515953281,409,25,58,12,32768,paper,4,0,1728356533,5.906433385324834e-11,2618.01072225
3600.1234215833247,'(0.000012167271 + (2.302584886551 * (((0.434294492006 * x6) + (0.434294492006 * x5)) + (0.434294492006 * x4))))',9.352063389108528e-11,5.700336314085064e-10,567671133,409,24,58,12,32768,paper,4,0,2765379632,1.6142119083820608e-10,1501.6012502500012
3600.168819900602,'(1.890706539154 + (0.814995944500 * (((1.226998686790 * x4) - ((-1.227000474930) * x5)) + ((1.226998686790 * x6) - exp(sin((cos((log(((cos(((3.111980676651 ^ (-1.205365419388)) / 3.141592741013)) ^ 2) ^ sqrt((1.244269132614 * x6)))) ^ 2)) ^ 2)))))))',5.851764339229808e-10,1.9469459378029796e-09,280063592,409,22,58,12,32768,paper,4,0,3980425317,6.187621210421222e-10,390.8133610000002
3600.0949416570365,'((-0.000037537782) + (1.246715903282 * ((0.802107155323 * x5) - (((-0.802108705044) * x4) - (0.802107155323 * x6)))))',1.067205159112187e-09,1.9148314045480674e-09,568009168,409,28,58,12,32768,paper,4,0,1904449481,1.1497455305819416e-09,3274.3572839999997
3600.095321878791,'(0.000010016532 + (0.744222819805 * ((1.343683600426 * x5) + ((1.343682765961 * x4) - ((-1.343683838844) * x6)))))',1.593076600396211e-10,6.222198312144656e-10,551212052,409,29,58,12,32768,paper,4,0,1934709049,6.766081072223413e-12,793.7742759999995
